Latitude,Longitude
-37.81349283433532,144.952370512958
-37.81349283433532,144.952370512958
-37.814051579849064,144.95368683489843
-37.814623655200954,144.95471888615285
-37.814623655200954,144.95471888615285
-37.813498776884,144.9560594639283
-37.813498776884,144.9560594639283
-37.815461280439244,144.9558877671151
-37.8153712625945,144.95760540991486
-37.81686034169046,144.95826839064307
-37.81760105077808,144.95712779867065
-37.81832874688175,144.9556358005538
-37.817282489132666,144.9570758508038
-37.81618877413893,144.95743122034733
-37.814939535605156,144.9574748447182
-37.81397061341788,144.9587606478894
-37.81389315620264,144.96023861960083
-37.81389315620264,144.96023861960083
-37.814616008790345,144.96194155357972
-37.814616008790345,144.96194155357972
-37.814616008790345,144.96194155357972
-37.81509017506876,144.96104977651092
-37.81509017506876,144.96104977651092
-37.81396434204384,144.96169977651093
-37.81396434204384,144.96169977651093
-37.8142086831584,144.9607197778274
-37.81497138719796,144.95922288686677
-37.815919084939736,144.95983832897633
-37.815919084939736,144.95983832897633
-37.815919084939736,144.95983832897633
-37.814936206513885,144.96082120740218
-37.814936206513885,144.96082120740218
-37.814936206513885,144.96082120740218
-37.81604712064072,144.95929216528282
-37.81604712064072,144.95929216528282
-37.817061679501,144.95872978612334
-37.81537767717029,144.95958782816786
-37.81611401504298,144.9588253279795
-37.816624015042976,144.95970867389136
-37.816624015042976,144.95970867389136
-37.816624015042976,144.95970867389136
-37.81723184821636,144.95890205202622
-37.81870932390995,144.9577886942334
-37.81870932390995,144.9577886942334
-37.817482026755876,144.95844125970567
-37.817731520784854,144.9572674825848
-37.817507819499845,144.95867987691184
-37.817507819499845,144.95867987691184
-37.817507819499845,144.95867987691184
-37.817777760765054,144.9575106328341
-37.817777760765054,144.9575106328341
-37.81818267266287,144.95575676671749
-37.81947368408342,144.95615146851887
-37.81947368408342,144.95615146851887
-37.81947368408342,144.95615146851887
-37.81865105064098,144.95686657286046
-37.819506133925955,144.9555498600688
-37.817991917984855,144.95568233679776
-37.819861633174796,144.9557149727978
-37.819861633174796,144.9557149727978
-37.819861633174796,144.9557149727978
-37.81871104335346,144.957086192351
-37.81788615259718,144.95782892732404
-37.81742571727556,144.95924600153333
-37.81742571727556,144.95924600153333
-37.81565236375765,144.95965541245224
-37.81534673357215,144.96109328942532
-37.81534673357215,144.96109328942532
-37.81534673357215,144.96109328942532
-37.81534673357215,144.96109328942532
-37.81680823655554,144.95999196793295
-37.81680823655554,144.95999196793295
-37.81680823655554,144.95999196793295
-37.81534509027892,144.96043929664117
-37.81534509027892,144.96043929664117
-37.81534509027892,144.96043929664117
-37.81534509027892,144.96043929664117
-37.81534509027892,144.96043929664117
-37.81534509027892,144.96043929664117
-37.81534509027892,144.96043929664117
-37.81534509027892,144.96043929664117
-37.81534509027892,144.96043929664117
-37.816121414033475,144.9589156754848
-37.8179381986388,144.9583947208823
-37.8179381986388,144.9583947208823
-37.8179381986388,144.9583947208823
-37.81832125082555,144.95696515065939
-37.81832125082555,144.95696515065939
-37.81832125082555,144.95696515065939
-37.81832125082555,144.95696515065939
-37.81832125082555,144.95696515065939
-37.81832125082555,144.95696515065939
-37.81832125082555,144.95696515065939
-37.819263212882795,144.95575949420638
-37.819787662113576,144.95446143681
-37.8187909726795,144.95599620394933
-37.81939322793767,144.95685631359584
-37.81939322793767,144.95685631359584
-37.81939322793767,144.95685631359584
-37.8202758344757,144.95519637212126
